algorithm,pca_dim,n_clusters,n_clusters_found_mean,variance_explained_mean,silhouette_mean,mi_mean,precision_mean,recall_mean,f1_mean,combined_score_mean,n_clusters_found_std,variance_explained_std,silhouette_std,mi_std,precision_std,recall_std,f1_std,combined_score_std
dbscan,4,4,5.0,0.43117509635816414,0.8119561941480239,0.3687869226856531,52.18110709987966,99.94237971766061,68.56408736041112,1.1807431168336773,0.0,1.598848256068919e-09,1.679449387937966e-05,5.551115123125783e-17,7.105427357601002e-15,0.0,0.0,1.6794493879458443e-05
dbscan,4,5,5.0,0.43117509635816414,0.7900038275033806,0.3708811532263099,53.56922126081582,99.88475943532121,69.73750377149753,1.1608849807296906,0.0,1.598848256068919e-09,1.8380674145348513e-05,0.0,0.0,1.4210854715202004e-14,0.0,1.838067414537578e-05
dbscan,4,7,3.0,0.43117509635816414,0.8704042964864147,0.36167055024598554,77.57589696412144,97.17660616537019,86.27701752142218,1.2320748467324,0.0,1.598848256068919e-09,3.2406975066437537e-06,5.551115123125783e-17,0.0,1.4210854715202004e-14,0.0,3.240697506553537e-06
dbscan,6,2,12.0,0.5715889716524069,0.9190818332227807,0.3600905366042199,7.1635311143270615,8.556611927398444,7.798345805435211,1.2791723698270008,0.0,9.779818900896522e-07,3.50800002081044e-05,0.0,8.881784197001252e-16,0.0,0.0,3.508000020814332e-05
dbscan,6,3,8.0,0.5715889716524069,0.8002009856330808,0.360684948081301,7.517084282460136,8.556611927398444,8.003233629749392,1.160885933714382,0.0,9.779818900896522e-07,4.368875026475295e-05,0.0,0.0,0.0,0.0,4.368875026475295e-05
dbscan,6,4,10.0,0.5715889716524069,0.7877193597416889,0.363589742107218,7.375217283337473,8.556611927398444,7.922112563350226,1.1513091018489068,0.0,9.779818900896522e-07,5.338874254154129e-05,3.7635945327729903e-06,8.881784197001252e-16,0.0,0.0,5.6635263875467825e-05
dbscan,6,5,6.0,0.5715889716524069,0.49291602933212975,0.36774997643282,51.96367110067931,100.0,68.3895968899179,0.8606660057649497,0.0,9.779818900896522e-07,0.0002621087177150804,2.672538177139608e-06,0.0036674183262477653,0.0,0.0031761681208135636,0.00025944631287601783
dbscan,6,7,6.0,0.5715889716524069,0.4826109365399384,0.3707315059108998,53.47618313550178,99.94237971766061,69.67262502510545,0.8533424424508382,0.0,9.779818900896522e-07,0.0001290069884047949,5.844245983631771e-06,0.0,0.0,0.0,0.0001238980631132519
dbscan,8,2,16.0,0.6619908319926427,0.9164465406337617,0.35951879864016584,6.83859083582777,8.556611927398444,7.601740465830562,1.2759653392739274,0.0,6.798672665150252e-06,7.244385229262253e-05,5.551115123125783e-17,0.0,0.0,8.881784197001252e-16,7.244385229265842e-05
dbscan,8,3,12.0,0.6619908319926427,0.8841431746336612,0.3606849480813004,7.517084282460136,8.556611927398444,8.003233629749392,1.2448281227149616,0.0,6.798672665150252e-06,5.9056624810642926e-05,0.0,0.0,0.0,0.0,5.905662481069524e-05
dbscan,8,4,10.0,0.6619908319926427,0.8580740666968287,0.36081064505807076,7.593965737663002,8.556611927398444,8.046599837442427,1.2188847117548995,0.0,6.798672665150252e-06,9.692556454042867e-05,0.0,0.0,0.0,0.0,9.692556454042867e-05
dbscan,8,5,7.0,0.6619908319926427,0.7360284806501814,0.3619770632991061,7.7640293963900255,8.556611927398444,8.141075459994374,1.0980055439492875,0.0,6.798672665150252e-06,0.00022858045938574793,1.6428695231248586e-06,0.0009566956235119178,0.0,0.0005259579409704411,0.00022697680029019283
dbscan,8,7,6.0,0.6619908319926427,0.6010503266244074,0.3660798749305207,51.65434818815158,100.0,68.12115675966852,0.967130201554928,0.0,6.798672665150252e-06,0.00038990911807554237,2.2973616163745227e-06,0.0036238852943361695,0.0,0.003151282711526279,0.00038762327794149954
gmm,2,2,2.0,0.2500784151942746,0.9093010329181208,0.2198370086406648,36.30099231306778,41.19850187265917,38.50514132819307,1.1291380415587857,0.0,8.981832498908263e-11,0.056219499382461985,0.1553923906554911,37.04697961766789,38.625020372506306,37.91157506621648,0.09917289127303253
