pca_dim,eps,min_samples,n_clusters_found,silhouette,mi,combined_score,precision,recall,f1,noise_percentage,n_clusters_found_std,silhouette_std,mi_std,combined_score_std,precision_std,recall_std,f1_std,noise_percentage_std
4,0.6,50,5.0,0.5647613575787277,0.36683378471408695,0.9315951422928146,100.0,92.21902017291067,95.95202398800599,8.42,0.0,0.0,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.7,5,12.0,0.4057369097888594,0.3820529768116076,0.787789886600467,100.0,92.21902017291067,95.95202398800599,1.36,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,2.220446049250313e-16
4,0.7,10,9.0,0.4866167594242004,0.3811540743295548,0.8677708337537554,100.0,92.21902017291067,95.95202398800599,1.7999999999999998,0.0,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-16,0.0,1.4210854715202004e-14,0.0,0.0
4,0.7,15,8.0,0.46824788268521483,0.3796937594364924,0.8479416421217073,100.0,92.21902017291067,95.95202398800599,2.3800000000000003,0.0,5.551115123125783e-17,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.7,20,8.0,0.46996857225819905,0.37897708714671374,0.8489456594049128,100.0,92.21902017291067,95.95202398800599,2.44,0.0,5.551115123125783e-17,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.7,50,4.0,0.5452478363694657,0.3711232504105293,0.916371086779995,100.0,92.21902017291067,95.95202398800599,5.7,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.8,5,9.0,0.43626658774694965,0.38232823351268613,0.8185948212596359,100.0,92.36311239193084,96.02996254681649,1.34,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0
4,0.8,10,8.0,0.48713160363436253,0.38212526209252334,0.8692568657268861,100.0,92.36311239193084,96.02996254681649,1.5599999999999998,0.0,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-16,0.0,0.0,0.0,0.0
4,0.8,15,6.0,0.4881830156426627,0.38124945968568147,0.8694324753283441,100.0,92.36311239193084,96.02996254681649,2.08,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0
4,0.8,20,6.0,0.48819073411602987,0.3806930518192906,0.8688837859353203,100.0,92.36311239193084,96.02996254681649,2.12,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0
4,0.8,50,4.0,0.5436939590528481,0.3727039485592997,0.9163979076121477,100.0,92.36311239193084,96.02996254681649,5.08,0.0,0.0,5.551115123125783e-17,1.1102230246251565e-16,0.0,0.0,0.0,0.0
